  37.899  36.887 -15.045 -24.288 -21.200 -17.455  22.220   5.254 -28.385 -20.053
 -31.969   3.741   9.989  28.143 -10.424 -18.354 -28.074  20.482   1.377  27.869
   5.591 -24.970   5.726  -3.652  -6.711  -2.832 -11.991 -17.507 -10.521   8.440
 -15.262  -7.721  30.163 -31.369 -29.556  -4.697  19.329 -15.284  15.234  24.323
  -4.479 -18.661 -13.853   1.659 -10.533 -18.032   7.011   7.242   7.132  28.907
  14.978 -11.905   7.368   7.105 -16.627  30.400  13.875  38.698  22.109  21.381
  -4.524   4.208 -24.435  -1.949  -5.711 -44.920 -28.081  -7.581  -6.658 -43.809
  17.251 -32.092  -9.152  -9.645  23.412  43.890  15.040   4.018  40.084  -2.520
  -2.039  24.194  16.031 -16.296 -29.571  27.263 -10.132 -21.195   7.637 -20.654
  49.626   6.030  12.305  -1.157  -0.130  17.068 -35.300  13.264  11.556 -16.360
 -17.951
